"party","ame_diff"
"Conservative",-0.016351648064958
"Labour",-0.0280846208238475
"Conservative",0.00858037558004868
"Labour",-0.00593424657110694
"Conservative",0.000878905289798421
"Labour",-0.00201245479865774
"Conservative",0.00712963871645051
"Labour",-0.0299622904309278
"Conservative",-0.026548970658233
"Labour",-0.0434659277688493
"Conservative",-0.0120574725157765
"Labour",-0.0295240417548566
"Conservative",-0.00301759271537383
"Labour",-0.00887143088787222
"Conservative",-0.0276335710930296
"Labour",-0.0506597081638992
"Conservative",-0.0426584331014838
"Labour",-0.0167105519855806
"Conservative",-0.013848459782257
"Labour",-0.0253117811635757
"Conservative",0.0151403837058081
"Labour",-0.0274135082720126
"Conservative",-0.0198956387506802
"Labour",-0.0024109563253882
"Conservative",-0.000691470252629472
"Labour",-0.0420167912508665
"Conservative",0.0214164733402077
"Labour",-0.0228657587439421
"Conservative",-0.0415453716557985
"Labour",-0.0209345031935758
"Conservative",-0.00740591560414385
"Labour",-0.0356120421865581
"Conservative",-0.00421953644518584
"Labour",-0.0269720872360016
"Conservative",-0.0316849501457306
"Labour",-0.0169675033555153
"Conservative",-0.0218207635787653
"Labour",-0.0108211255391805
"Conservative",-0.00787300264075617
"Labour",-0.00711569747964098
"Conservative",-0.0314093340227951
"Labour",-0.0312531203673075
"Conservative",0.00537107172475942
"Labour",-0.0265090126191439
"Conservative",-0.0109706989406696
"Labour",-0.0189659895057414
"Conservative",0.00973185151447672
"Labour",-0.01638826053304
"Conservative",-0.0154893922032539
"Labour",-0.00635315395771108
"Conservative",-0.0273646316137191
"Labour",-0.0150628184668354
"Conservative",-0.0304469330108501
"Labour",-0.0136216797644166
"Conservative",-0.00177136345589432
"Labour",-0.0203047592787922
"Conservative",-0.0156333972078166
"Labour",-0.0481622876346883
"Conservative",0.00179082919084471
"Labour",-0.0143582633787855
"Conservative",0.0139632310912491
"Labour",-0.0124775511973343
"Conservative",-0.00948875162064875
"Labour",-0.0133205581973362
"Conservative",-0.0111722823571515
"Labour",-0.0112991855538868
"Conservative",0.0171452773208586
"Labour",-0.0113380501234488
"Conservative",0.00307599802028792
"Labour",-0.0223917236036688
"Conservative",-0.0191539559412025
"Labour",-0.0294423242292367
"Conservative",-0.00188610377240471
"Labour",-0.043471116615907
"Conservative",0.0165321263154615
"Labour",-0.033829402614689
"Conservative",-0.00908719320905561
"Labour",-0.0169262298752288
"Conservative",0.00365331469149152
"Labour",-0.0195058657967752
"Conservative",-0.00429131834401879
"Labour",-0.0351041878265917
"Conservative",-0.0414890282730193
"Labour",-0.0166694997102648
"Conservative",-0.00599223776815807
"Labour",-0.0114690738917239
"Conservative",-0.0360228881158186
"Labour",-0.0320879601261064
"Conservative",-0.00928197851863479
"Labour",-0.0117337358827611
"Conservative",-0.00887142588747377
"Labour",-0.0210876136678792
"Conservative",-0.00376884985465735
"Labour",-0.0121761422734046
"Conservative",-0.0141667410629287
"Labour",-0.0209528880253969
"Conservative",-0.0266706920315984
"Labour",-0.018623000192787
"Conservative",0.0255887472025613
"Labour",-0.0214453999109766
"Conservative",-0.0221308532157213
"Labour",-0.0107668653582009
"Conservative",-0.0151427603708927
"Labour",-0.042657751538459
"Conservative",-0.0216926769109745
"Labour",-0.0174535518836533
"Conservative",-0.00239263892086656
"Labour",-0.0174460933815973
"Conservative",-0.0178300666981186
"Labour",-0.0320715286901251
"Conservative",-0.0268411451461019
"Labour",-0.0112469700468365
"Conservative",-0.0278246685123317
"Labour",-0.0375551682716479
"Conservative",-0.0281758057490318
"Labour",0.0152848275356414
"Conservative",-0.00788248419833563
"Labour",-0.00648545516906582
"Conservative",-0.0148849404547218
"Labour",-0.00658081039922117
"Conservative",0.0203328388854014
"Labour",-0.0471122183976165
"Conservative",0.00561061303228031
"Labour",-0.0279051353211697
"Conservative",-0.0207556818030614
"Labour",-0.00347856320865787
"Conservative",-0.00180427787124367
"Labour",-0.0219969797611354
"Conservative",-0.0142686295059842
"Labour",-0.0176095211368611
"Conservative",0.0154633695937263
"Labour",-0.019348193821523
"Conservative",-0.00375761175425058
"Labour",-0.0135598510318829
"Conservative",-0.0248723313621249
"Labour",0.00606924506053369
"Conservative",-0.0247854033868887
"Labour",-0.0276895289984494
"Conservative",-0.0170757132664238
"Labour",-0.00906228025302879
"Conservative",0.00547706252809647
"Labour",0.00130450766350851
"Conservative",-0.0243333007976135
"Labour",-0.0127170776765587
"Conservative",-0.0112228848893853
"Labour",-0.033652529996877
"Conservative",0.00256314635919299
"Labour",-0.0225508682468748
"Conservative",-0.00288295372467737
"Labour",-0.0218637148622817
"Conservative",0.00691809395681174
"Labour",-0.0184085686125527
"Conservative",-0.00978723845412404
"Labour",-0.0317551598469118
"Conservative",-0.0161114442853531
"Labour",-0.0132416134881478
"Conservative",-0.0288397602350809
"Labour",-0.030454447220856
"Conservative",-0.0043455201532648
"Labour",-0.00819501721228182
"Conservative",0.0119654225023396
"Labour",-0.0249929490527165
"Conservative",0.000237606577338046
"Labour",-0.00500532852043012
"Conservative",-0.0110149430435162
"Labour",-0.022900516668835
"Conservative",-0.00752444627424168
"Labour",-0.00478135756039447
"Conservative",-0.0163962087197944
"Labour",-0.0103401733439409
"Conservative",0.00441596113837911
"Labour",-0.00955524647780983
"Conservative",-0.0230917647922371
"Labour",-0.0124099584327811
"Conservative",-0.00425143749089918
